real0,real1,classification
real,real,string
-0.39,0.014000000000000012,1
-0.39,0.02100000000000001,1
-0.30000000000000004,0.014000000000000012,1
-0.30000000000000004,0.02100000000000001,1
-0.48,0.014000000000000012,0
-0.48,0.02100000000000001,0
-0.39,0.014000000000000012,0
-0.39,0.02100000000000001,0
-0.48,-0.013999999999999999,0
-0.48,-0.0069999999999999975,0
-0.39,-0.013999999999999999,0
-0.39,-0.0069999999999999975,0
-0.75,0.0,0
-0.75,0.007000000000000001,0
-0.66,0.0,0
-0.66,0.007000000000000001,0
-0.39,-0.006999999999999992,0
-0.39,8.673617379884035E-18,0
-0.30000000000000004,-0.006999999999999992,0
-0.30000000000000004,8.673617379884035E-18,0
-0.6599999999999999,-0.006999999999999992,0
-0.6599999999999999,8.673617379884035E-18,0
-0.57,-0.006999999999999992,0
-0.57,8.673617379884035E-18,0
-0.57,-0.013999999999999999,2
-0.57,-0.0069999999999999975,2
-0.48,-0.013999999999999999,2
-0.48,-0.0069999999999999975,2
-0.57,0.014000000000000012,1
-0.57,0.02100000000000001,1
-0.48,0.014000000000000012,1
-0.48,0.02100000000000001,1
-0.48,-0.020999999999999998,2
-0.48,-0.013999999999999997,2
-0.39,-0.020999999999999998,2
-0.39,-0.013999999999999997,2
-0.6599999999999999,0.014000000000000012,1
-0.6599999999999999,0.02100000000000001,1
-0.57,0.014000000000000012,1
-0.57,0.02100000000000001,1
-0.57,-0.020999999999999998,2
-0.57,-0.013999999999999997,2
-0.48,-0.020999999999999998,2
-0.48,-0.013999999999999997,2
-0.6599999999999999,0.007000000000000006,2
-0.6599999999999999,0.014000000000000007,2
-0.57,0.007000000000000006,2
-0.57,0.014000000000000007,2
-0.48,-0.006999999999999992,2
-0.48,8.673617379884035E-18,2
-0.39,-0.006999999999999992,2
-0.39,8.673617379884035E-18,2
-0.39,0.007000000000000006,2
-0.39,0.014000000000000007,2
-0.30000000000000004,0.007000000000000006,2
-0.30000000000000004,0.014000000000000007,2
-0.75,0.007000000000000006,1
-0.75,0.014000000000000007,1
-0.66,0.007000000000000006,1
-0.66,0.014000000000000007,1
-0.75,-0.006999999999999992,1
-0.75,8.673617379884035E-18,1
-0.66,-0.006999999999999992,1
-0.66,8.673617379884035E-18,1
-0.48,0.007000000000000006,1
-0.48,0.014000000000000007,1
-0.39,0.007000000000000006,1
-0.39,0.014000000000000007,1
-0.6599999999999999,-0.013999999999999999,1
-0.6599999999999999,-0.0069999999999999975,1
-0.57,-0.013999999999999999,1
-0.57,-0.0069999999999999975,1
-0.57,0.007000000000000006,1
-0.57,0.014000000000000007,1
-0.48,0.007000000000000006,1
-0.48,0.014000000000000007,1
-0.75,-0.013999999999999999,0
-0.75,-0.0069999999999999975,0
-0.66,-0.013999999999999999,0
-0.66,-0.0069999999999999975,0
-0.39,0.0,0
-0.39,0.007000000000000001,0
-0.30000000000000004,0.0,0
-0.30000000000000004,0.007000000000000001,0
-0.6599999999999999,0.0,2
-0.6599999999999999,0.007000000000000001,2
-0.57,0.0,2
-0.57,0.007000000000000001,2
-0.30000000000000004,-0.006999999999999992,1
-0.30000000000000004,8.673617379884035E-18,1
-0.21000000000000005,-0.006999999999999992,1
-0.21000000000000005,8.673617379884035E-18,1
-0.39,-0.013999999999999999,0
-0.39,-0.0069999999999999975,0
-0.30000000000000004,-0.013999999999999999,0
-0.30000000000000004,-0.0069999999999999975,0
-0.30000000000000004,0.0,1
-0.30000000000000004,0.007000000000000001,1
-0.21000000000000005,0.0,1
-0.21000000000000005,0.007000000000000001,1
-0.6599999999999999,-0.020999999999999998,1
-0.6599999999999999,-0.013999999999999997,1
-0.57,-0.020999999999999998,1
-0.57,-0.013999999999999997,1
-0.48,0.0,0
-0.48,0.007000000000000001,0
-0.39,0.0,0
-0.39,0.007000000000000001,0
